"","x"
"1","Total volume"
"2","Cortical volume"
"3","Caudal anterior cingulate"
"4","Caudal middle frontal"
"5","Cuneus"
"6","Entorhinal"
"7","Fusiform"
"8","Inferior parietal"
"9","Inferior temporal"
"10","Isthmus cingulate"
"11","Lateral occipital"
"12","Lateral orbitofrontal"
"13","Lingual"
"14","Medial orbitofrontal"
"15","Middle temporal"
"16","Parahippocampal"
"17","Paracentral"
"18","Pars opercularis"
"19","Pars orbitalis"
"20","Pars triangularis"
"21","Pericalcarine"
"22","Postcentral"
"23","Posterior cingulate"
"24","Precentral"
"25","Precuneus"
"26","Rostral anterior cingulate"
"27","Rostral middle frontal"
"28","Superior frontal"
"29","Superior parietal"
"30","Superior temporal"
"31","Supramarginal"
"32","Transverse temporal"
"33","Insula"
"34","Subcortical volume"
"35","Accumbens"
"36","Amygdala"
"37","Caudate"
"38","Hippocampus"
"39","Putamen"
"40","Thalamus"
"41","Pallidum"
"42","Lateral ventricle"
"43","Cerebellum"
